Gene_ID	TCGA-09-1664	TCGA-13-1484	TCGA-13-1488	TCGA-13-1489	TCGA-13-1494	TCGA-13-1495	TCGA-13-1499	TCGA-13-2071	TCGA-23-1123	TCGA-23-1124	TCGA-24-1103	TCGA-24-1104	TCGA-24-1105	TCGA-24-1428	TCGA-24-1430	TCGA-24-1435	TCGA-24-1466	TCGA-24-1467	TCGA-24-1545	TCGA-24-1550	TCGA-24-1551	TCGA-24-1552	TCGA-24-1553	TCGA-24-1555	TCGA-24-1556	TCGA-24-1562	TCGA-24-1563	TCGA-24-1603	TCGA-24-1604	TCGA-24-1923	TCGA-24-2020	TCGA-24-2023	TCGA-24-2024	TCGA-24-2027	TCGA-24-2030	TCGA-24-2260	TCGA-24-2267	TCGA-24-2288	TCGA-24-2289	TCGA-24-2290	TCGA-24-2295	TCGA-25-1316	TCGA-25-1319	TCGA-25-1320	TCGA-25-1321	TCGA-25-1623	TCGA-25-1628	TCGA-25-1630	TCGA-25-1635	TCGA-25-2400	TCGA-25-2404	TCGA-25-2409	TCGA-29-1688	TCGA-29-1693	TCGA-29-1697	TCGA-29-1762	TCGA-29-1763	TCGA-29-1768	TCGA-29-1774	TCGA-29-1775	TCGA-29-1776	TCGA-29-1777	TCGA-29-1785	TCGA-29-2414	TCGA-29-2432	TCGA-30-1866	TCGA-36-1576	TCGA-36-1581	TCGA-36-2529	TCGA-36-2530	TCGA-36-2543	TCGA-42-2588	TCGA-42-2590	TCGA-61-1741	TCGA-61-1900	TCGA-61-1907	TCGA-61-1911	TCGA-61-1914	TCGA-61-1919	TCGA-61-1995	TCGA-61-2008	TCGA-61-2095	TCGA-61-2096	TCGA-61-2612
ABCC4	1.132	0.027	1.584	-0.59	0.91	0.478	0.417	1.318	1.256	0.9	0.981	0.465	-0.26	-1.852	1.199	-1.49	-0.488	-0.441	-0.498	1.868	0.14	-0.913	-0.372	0.488	-0.502	-0.652	-0.801	-0.051	0.674	-0.486	1.138	1.388	1.776	0.6	-0.935	-0.483	0.845	-1.097	0.671	-0.378	1.369	1.463	1.683	-0.025	-0.631	0.004	0.204	0.203	-0.795	0.716	-0.28	0.124	-1.058	0.493	1.02	0.696	-0.403	-0.276	-0.224	1.336	0.33	2.078	1.33	-0.615	0.846	0.049	1.576	0.385	-0.002	-0.492	-0.282	0.477	-0.78	-0.493	0.213	1.024	-0.797	-1.3	0.956	-0.571	0.804	0.162	1.01	-0.63
ABCD1	-0.058	-0.883	-0.498	0.729		0.788		1.614	-1.517		0.918										0.149		0.158		0.107										0.27	-0.032	-1.053									-0.57									0.536	-1.258			0.176		-2.805	-1.129		-0.534			-2.639	-2.484	0.015	-1.143	0.111		1.899		0.706		1.328	-0.566		0.746	-1.108		-0.077	
ABCD3	0.808			0.383	0.393	1.84		-0.8	-0.545	0.244	-0.25	0.194	-2.479	1.256	-0.514		-0.119	-1.247	-0.497	3.222		-1.332	-0.316	0.218	1.117		0.37	-1.513	-2.326	1.757	-2.046	1.959	1.089	-0.004	-2.941	-0.004	-0.801	-1.379	-0.819	-1.47	0.601	0.659	-1.247	1.11	-0.224		-0.95		0.126	-1.401	-0.067	-1.504		0.393		-1.848	1.163	1.104	-1.008		-0.059		1.877		-0.479	2.059	0.723	0.997	-0.144	0.925	-0.12	1.39	0.935	0.968	0.167	1.121	0.298	0.378	0.726			0.61	0.034	1.343
ABCD4	0.773	0.846	-0.063	-1.027	-1.91	-0.088	-0.955	1.435	1.137	-0.863	1.479	1.066	0.87	0.471	-1.182	0.652	0.461	-0.907	0.446	0.342	-0.04	-0.477	-1.282	1.131	-1.701	-1.781	-1.726	-0.235	-0.685	0.04	1.32	-0.288	1.992		0.461	0.15	0.585	1.069	0.164	0.439		-1.276	0.163	-0.243	-0.122	1.358	1.514	0.834	0.087	-0.626	0.198	-1.796	1.057	1.148	-1.43	-1.001	1.49		-0.406	-0.361	0.706	0.248	-0.024	0.58	-0.449	1.993	0.146	1.145	-0.433	0.281	-0.48	-0.366	-0.081	0.336	0.351	1.875	-0.467	-0.018	-2.378	-0.141	-0.058	-0.592	0.65	-0.582
ABCE1				0.534	0.672			1.187				1.556		-0.898				-0.27									0.444	1.808	-0.867	0.144	0.781	0.594	-0.56											0.615	-0.815		-1.07			0.921		-1.85				2.085	0.931								-2.405	-1.893			-1.846		1.509		-1.474	-0.355										-0.249
ABCF1				1.268				0.521	0.436		2.257		0.659					-1.488		-0.969	-2.479		1.011	-1.237				-0.403	-0.829		-1.062	-1.22			0.296				1.406	2.447		-2.128	-0.057	0.576	1.096											-1.349			0.51		-0.674	1.218	1.288		0.36		0.587	0.305	-0.184	0.072	-1.162	0.118	2.577								-0.188			-1.021
ABCF2	-0.559	-0.531	0.605	0.337	1.084	0.14	-0.381	-0.65	0.353	1.386	0.786	0.55	-0.79	1.123	-0.109	-0.305	-1.917	1.113	-1.744	0.831	-1.41	-0.047	0.962	2.638	-0.974	1.126	-1.178	-3.321	-0.679	-0.566	-1.077	0.877	-1.497	-0.576	1.194	0.778	0.241	1.214	0.607	-0.627	0.209	0.539	-1.122	-1.952	0.184	-1.025	0.579	0.975	0.548	1.104	0.752	0.629	-0.77	-1.013	1.721	-0.231	1.823	0.395	0.218	0.16	0.363	-0.235	-2.264	1.026	-0.792	-0.732	-0.157	-1.125	-0.154	-0.425	0.25	-2.214	1.832	-0.125	0.176	-2.498	-1.218	1.844	-0.154	0.802	1.09	0.844	-0.849	0.07
ABCF3	0.575			0.144		1.182	-1.459		-0.661	1.673	0.239		0.21			-2.29		-0.242			0.485		-0.979			-0.664			2.109		0.166			0.67	-0.497				-0.473	0.209	2.072		-0.262	0.689	1.031			-0.622	-1.649	0.641		0.9	-0.932					0.084	-0.971	-0.619	-1.996	0.594	1.09		-1.822	-0.416	-1.908	-1.209	-0.228	-0.328		-1.744	-0.915		0.803	0.692	-1.149	1.35			0.722		0.452	
ABHD10	-0.09	-1.263	-0.699	0.26	-1.785	0.855	1.166	-0.46	0.934	0.059	1.701	-1.58	1.049	-1.062	-2.615	1.193	-1.074	0.229	0.246	0.409	0.711	0.516	-1.126	2.505	-0.545	-1.456	-1.427	-0.95	-1.108	-0.096	0.696	0.708	0.971	-2.038	-1.235	-1.329	1.951	0.826	0.711	-0.529	-0.275	-0.183	0.684	-1.385	-0.382	-0.453	2.408	1.496	-0.212	-1.169	1.376	1.14	1.16	0.383	2.039	0.046	-0.37	-0.327	-0.108	0.184	0.015	-0.054	-0.302	-1.363	-0.16	0.341	-0.452	0.285	0.14	1.533	-0.017	-0.436	-0.053	1.14	-1.154	-0.557	0.044	0.154	-1.385	-0.185	1.551	-1.199	0.671	-1.913
ABHD11	-0.262		-0.773	-0.429	-0.35	-0.268			-0.639		0.867	0.314	0.088	0.842	-1.233		-0.997	-0.496	0.253	1.16		0.26	-1.62	0.713			-0.637	-1.255	0.218	-0.742	-1.29	-2.261	-0.752		-0.323			1.238	0.812	-2.497		-0.443	-1.607	-0.982	-0.499	0.095	-0.655			0.276		-0.126		0.028	0.005		0.027		0.909		-0.25		1.197		-0.151	0.27	0.176	-0.535	-0.811	0.836		-0.244	-1.358	0.918	-0.325		1.515	1.187					0.617	-0.478
ABHD12	0.252	0.28	-0.196	-0.656	-0.246	-0.765	1.068	-0.97	-0.544	-1.686	-0.343	-0.607	-1.092	-0.295	-0.814	0.327	-0.258	2.121	-0.094	-0.322	0.791	-0.995	1.809	-0.09	-0.412	0.118	0.395	-0.202	0.491	1.056	-0.675	-1.261	0.892	1.497	-0.8	-2.338	1.328	-0.547	0.3	-0.771	0.735	2.032	1.545	0.181	-1.682	0.437	-0.558	0.481	-1.53	-2.398	-1.409	-0.036	1.271	1.209	0.078	0.882	-2.007	1.154	0.334	0.742	-0.424	0.059	-1.211	-2.463	-1.716	0.363	-0.536	0.869	-0.145	0.036	0.981	0.378	-1.788	1.085	-2.084	-0.151	-0.402	-0.503	-0.606	2.203	0.891	0.784	-1.254	0.201
ABHD14B	0.794					-0.497		0.077		-1.03					0.079		0.497	-0.937	-0.57			0.045												1.153				1.355			1.308				0.106				2.688	-1.36		-1.419		-2.059		2.452		0.713							-0.437	0.264					-0.751				-1.429	-0.698	-0.931	-0.844					0.319	
ABHD16A	0.401	0.556	-0.682	1.231	-1.001	1.516	-0.712	0.852	-0.105	-1.145	-0.814	1.536	1.157	-1.471	-0.578	-1.488	-2.776	0.028	-0.225	-0.451	-0.112	-0.645	-0.01	0.041	0.244	0.446	-0.987	0.614	-0.795	0.496	1.269	-1.203	-1.278	-0.58	2.175	0.28	-0.286	0.835	0.059	0.416	-0.472	1.086	-0.453	0.63	-1.033	0.867	0.182	0.055	-0.433	0.01	1.392	0.089	-0.911	-0.302	0.781	-0.034	1.009	-0.531	-1.696	-0.804	-0.822	-1.9	-0.151	0.615	-2.238	0.03	-1.324	-0.143	0.273	-1.976	-1.605	-0.795	0.979	-0.46	-1.463	0.108	-1.156	0.22	0.15	0.642	0.582	-2.029	-0.322	0.303
ABHD5	3.277	-0.605	0.032	-2.245	0.17	-0.677	0.33	-0.037	0.063	0.86	-0.759	0.171	0.817	-1.344	0.864	1.045	-1.648	0.783	0.362	-0.912	0.941	0.001	-0.31	0.65	0.787	1.599	0.951	-0.909	0.377	1.293	-0.14	0.289	0.154	0.537	0.583	-0.537	-0.711	1.264	0.106	-0.903	-0.977	0.394	-0.686	-2.236	-1.204	-0.012	0.062	0.747	0.583	-0.26	1.894	0.072	2.209	-1.826	1.3	-3.24	1.236	-0.685	-0.686	0.332	1.286	-0.696	-0.11	2.483	0.269	1.053	-1.403	0.694	-1.678	-0.489	-0.061	1.682	1.164	0.317	-0.08	0.038	1.359	1.746	0.538	0.105	0.518	-0.604	-0.871	-0.304
ABI1	0.544	-0.642	1.175	2.607	-1.313	-0.734	0.594	-0.557	-2.77	-2.259	-0.313	1.698	0.68	1.118	-1.894	-1.143	-0.134	2.173	2.324	0.269	-0.92	-0.476	-0.584	-0.668	0.499	1.037	-1.275	0.978	-0.935	1.526	-2.446	2.492	0.537	0.974	0.613	-2.168	-0.012	0.354	-1.287	-1.213	1.336	-1.358	0.815	-1.774	-0.816	-1.721	1.393	-2.488	-0.317	-0.436	0.043	0.934	0.15	0.237	1.256	-1.475	0.367	2.232	-1.42	-0.149	-0.947	-0.265	1.431	0.616	0.835	-0.092	-0.367	-0.953	0.618	1.359	0.293	0.228	0.868	-1.32	0.396	0.973	0.59	-1.801	-0.693	-0.109	-0.69	0.847	-0.798	-0.441
ABI2	-1.723	-2.006	0.274	-1.001	0.862	0.362	-0.872	1.741	-0.123	-0.15	-1.364	0.64	-1.342	-0.012	-1.296	0.209	1.275	-0.312	-0.01	1.805	-1.631	0.204	0.692	-1.163	1.316	-1.519	-0.519	-1.206	-0.447	0.952	0.737	0.656	0.494	1.654	-0.077	-0.164	1.034	-0.215	0.937	0.798	1.161	0.685	0.433	-1.269	2.523	-0.317	-0.001	0.988	0.022	1.494	0.095	0.069	1.925	0.188	0.677	0.483	-1.041	-1.305	-1.63	0.732	0.848	-1.959	-0.314	0.673	-0.185	0.344	-0.901	-0.202	-0.902	1.189	1.673	1.216	-0.861	-0.775	-0.421	1.397	-1.013	0.862	0.436	0.916	-1.083	0.885	1.32	-0.75
ABI3		2.123		-0.444	-0.232			1.148		0.779		1.424			0.317		-2.745	-0.622	0.768	1.414		-1.219		-0.717				-0.833	-1.609		-0.909	0.066	0.445	-1.366	-2.437			1.413	-0.438		0.511	0.278	-0.386	0.823	-2.076		0.286		-0.765	-0.511		-0.444		-0.669		-1.645	0.029	0.158	0.267					0.561	-0.023	-1.475	0.513		2.422		-0.605	1.409	-1.831	-0.591		0.044				-1.758				-0.091
ABI3BP	3.213	1.388		-0.545		-0.77			-1.153	-1.984			-1.128	-0.307		3.381		-1.983					0.679			2.073	0.769	0.65		0.195		0.521			0.262				1.281	0.851			-1.185		-0.278				-1.575				1.228						-1.846				-1.388	0.253	0.273		-0.208	0.435	-0.494			-0.189	1.392		1.292	0.956	-1.475	0.849		0.579			-2.013	-0.029
ABLIM1	-0.359	1.117	-1.103	0.691	-0.286	0.5	1.215	-0.173	-0.382	0.582	-0.863	0.622	-1.583	0.917	-0.233	-1.786	1.648	-1.767	0.509	0.882	-1.455	-2.349	-0.061	-1.375	-0.808	0.884	0.085	1.015	0.628	-1.167	0.792	-1.803	0.47	-0.978	-0.389	1.603	-0.304	-0.429	-0.875	-0.951	-1.256	-0.56	-1.533	-1.123	-0.937	1.799	0.892	-0.369	-0.072	-1.808	0.431	-0.141	-0.38	0.666	-0.259	-1.063	0.806	-0.837	0.827	-0.94	1.861	-1.867	-2.189	1.651	0.92	1.456	-0.116	1.259	1.374	-1.781	0.241	-1.083	-0.008	1.784	0.288	0.641	0.961	-0.261	0.524	-0.691	0.936	-0.328	1.726	0.637
